Type avion,Compagnie,Nombre de mouvements réalisés,Nombre de vol atterris décollés,Nombre de passagers max réalisés,Nombre de passagers réalisés moyen
330,IRAN AIR,316,316,238,160.76898734177215
330,JAT AIRWAYS INDIA LT,3080,3080,336,213.77532467532467
330,JET AIRWAYS (INDIA),4,4,0,0.0
330,JETAIRFLY,4,4,0,0.0
330,JETEX FLT SUPPORT,2,2,0,0.0
330,JORDAN AVIATION,4,4,237,118.5
330,KLM,9,9,159,17.77777777777778
330,KUWAIT AIRWAYS,1478,1478,212,125.18335588633288
330,LA COMPAGNIE,1,1,64,64.0
330,MIDDLE EAST AIRLINES,10140,10140,372,209.75157790927022
330,NORWEGIAN.NO,168,168,330,212.0
330,OMAN AIR,2168,2168,292,170.98939114391143
330,ONUR AIR TASIMACILIK,2,2,307,244.0
330,OPENSKIES,503,503,380,222.38568588469184
330,ORBEST,1,1,0,0.0
330,PJSC AEROFLOT,46,46,296,208.30434782608697
330,PULLMANTUR AIR S.A.,11,11,406,95.9090909090909
330,QATAR AIRWAYS,932,932,308,238.03540772532187
330,QATAR AMIRI FLIGHT,186,186,41,9.204301075268818
330,ROYAL AIR FORCE,2,2,140,70.0
330,ROYAL AIR MAROC,78,78,344,195.74358974358975
330,ROYAL JORDANIAN,74,74,280,199.67567567567568
330,SAUDIA,1502,1502,440,211.72436750998668
330,SCANDINAVIAN,2,2,222,185.0
330,SENEGAL AIRLINES,3,3,0,0.0
330,SMALL PLANET AIRLINE,2,2,180,177.0
330,SRILANKAN AIRLINES,2022,2022,300,228.68694362017803
330,SURINAM AIRWAYS,1,1,0,0.0
330,SWISS INTL AIR LINES,26,26,234,141.42307692307693
330,SYPHAX AIRLINES,226,226,279,185.03982300884957
330,TAM LINHAS AEREAS SA,2154,2154,223,188.28505106778087
330,TAP PORTUGAL,214,214,279,190.2429906542056
330,TASSILI AIRLINES SPA,8,8,268,172.5
330,THOMAS COOK AIRLINES,2,2,0,0.0
330,THOMAS COOK SCANDINA,8,8,401,99.875
330,TITAN AIRWAYS LTD,3,3,257,85.66666666666667
330,TRANSAVIA.COM,33,33,309,150.36363636363637
330,TRAVEL SERVICE POLSK,2,2,266,133.0
330,TUI FLY BELGIUM,2,2,168,147.5
330,TUIFLY NORDIC AB,1,1,0,0.0
330,TUNIS AIR,1762,1762,272,195.24120317820658
330,TURK HAVA YOLLARI,9672,9672,305,225.94396195202646
330,US AIRWAYS,4066,4066,308,211.46974913920315
330,VLADIVOSTOK AIR,8,8,0,0.0
330,VUELING AIRLINES SA,2,2,184,182.0
330,WOW AIR,1140,1140,351,296.39736842105265
330,XL AIRWAYS FRANCE,12863,12863,411,284.2795615330794
330,YEMENIA,358,358,286,98.70949720670392
33F,ETIHAD AIRWAYS,40,40,0,0.0
33F,MNG AIRLINES,908,908,0,0.0
33F,QATAR AIRWAYS,102,102,0,0.0
33F,TURK HAVA YOLLARI,26,26,0,0.0
340,AFRIQIYAH AIRWAYS,1,1,0,0.0
340,AIGLE AZUR,25,25,296,189.36
340,AIR ALGERIE,464,464,324,184.36853448275863
340,AIR AUSTRAL,13,13,233,92.92307692307692
340,AIR BELGIUM SA,2,2,247,123.5
340,AIR CARAIBES ATLANTI,2,2,0,0.0
340,AIR CARAIBES S.A.,92,92,324,193.42391304347825
340,AIR CHINA,670,670,440,196.42537313432837
340,AIR FRANCE,40621,40621,477,227.54100096009452
340,AIR MADAGASCAR,1928,1928,282,191.20435684647302
340,AIR MAURITIUS,4892,4892,309,272.7115699100572
340,AIR MEDITERRANEE,4,4,201,88.5
340,AIR TAHITI NUI,3500,3500,526,238.54257142857142
340,AIR X CHARTER LTD,26,26,100,39.15384615384615
340,AIRASIA X,104,104,333,263.5480769230769
340,AMBASSADE EGYPTE,8,8,0,0.0
340,AMBASSADE THAILANDE,2,2,100,50.0
340,ASL AIRLINES FRANCE,2,2,252,213.5
340,AZAL AZERBAIJAN AIRL,36,36,226,82.41666666666667
340,BLUE 1 OY,2,2,248,124.0
340,CAMAIR-CO,16,16,230,71.6875
340,CATHAY PACIFIC AIRWA,1326,1326,283,237.31674208144796
340,CORSAIR INTL,470,470,380,251.05957446808512
340,COTAM,2966,2966,402,83.87896156439649
340,CUBANA,76,76,440,161.1315789473684
340,EDELWEISS AIR,1,1,0,0.0
340,EL AL,26,26,262,187.07692307692307
340,EMIRATES,4,4,76,51.75
340,ETIHAD AIRWAYS,5320,5320,319,253.75263157894736
340,FINNAIR,2,2,185,152.0
340,FORCE AERIENNE EGYPT,2,2,0,0.0
340,FRENCH BEE,2,2,265,132.5
340,FRENCH BLUE,6,6,300,195.5
340,GERMAN AIR FORCE,10,10,94,13.4
340,GLOBAL JET IOM LTD,2,2,6,3.0
340,HI FLY,30,30,213,66.2
340,HI FLY MALTA,14,14,301,42.92857142857143
340,IBERIA,118,118,348,251.5593220338983
340,ICELANDAIR,1,1,0,0.0
340,JETAIRFLY,7,7,284,125.71428571428571
340,KUWAIT AIRWAYS,601,601,267,140.31946755407654
340,LA COMPAGNIE,2,2,68,34.0
340,LUFTHANSA,6,6,384,102.83333333333333
340,MAHAN AIRLINES,852,852,308,166.28169014084506
340,NORWEGIAN AIR INTERN,1,1,0,0.0
340,NORWEGIAN.NO,118,118,284,231.9406779661017
340,NOVAIR,1,1,0,0.0
340,OPENSKIES,16,16,266,143.875
340,PHILIPPINE AIR LINES,2,2,0,0.0
340,PLUS ULTRA LINEAS AE,20,20,35,1.75
340,QATAR AIRWAYS,5756,5756,475,246.08425990271022
340,QATAR AMIRI FLIGHT,220,220,49,11.245454545454546
340,QATAR EXECUTIVE,71,71,51,8.19718309859155
340,ROYAL AIR MAROC,23,23,295,155.7391304347826
340,ROYAL JORDANIAN,12,12,259,165.5
340,SAUDIA,6,6,31,5.166666666666667
340,SCANDINAVIAN,10,10,208,187.2
340,SMALL PLANET AIR,7,7,180,124.0
340,SMALL PLANET AIRLINE,1,1,0,0.0
340,SRILANKAN AIRLINES,10,10,296,244.5
340,SURINAM AIRWAYS,40,40,0,0.0
340,SWISS INTL AIR LINES,18,18,222,184.27777777777777
340,TAP PORTUGAL,14,14,250,160.35714285714286
340,THAI AIRWAYS INTL,2,2,0,0.0
340,TRANSAVIA.COM,17,17,300,140.1764705882353
340,TUI FLY BELGIUM,2,2,234,117.0
340,TUNIS AIR,140,140,295,151.17142857142858
340,TURK HAVA YOLLARI,6,6,268,237.5
340,UNIVERSAL AIRWAYS IN,4,4,35,8.75
340,VUELING AIRLINES SA,4,4,180,64.25
340,WOW AIR,2,2,288,287.0
340,XL AIRWAYS FRANCE,95,95,356,257.2842105263158
350,AIR CARAIBES ATLANTI,2,2,0,0.0
350,AIR CARAIBES S.A.,2356,2356,431,360.33658743633276
350,AIR MAURITIUS,792,792,330,299.69823232323233
350,AIRBUS SAS,16,16,211,50.3125
350,CATHAY PACIFIC AIRWA,742,742,285,234.46226415094338
350,ETHIOPIAN AIRLINES,88,88,341,272.1931818181818
350,FINNAIR,2,2,197,190.0
350,FRENCH BEE,608,608,411,336.67269736842104
350,FRENCH BLUE,184,184,409,332.1576086956522
350,IBERIA,26,26,348,257.84615384615387
350,LATAM AIRLINES GROUP,68,68,339,297.19117647058823
350,QATAR AIRWAYS,1044,1044,285,221.65613026819923
350,TAM LINHAS AEREAS S.,372,372,339,304.0241935483871
350,TAM LINHAS AEREAS SA,380,380,339,313.87894736842105
350,VIETNAM AIRLINES,3282,3282,358,263.62187690432665
380,AIR AUSTRAL,19,19,466,309.63157894736844
380,AIR FRANCE,29879,29879,534,450.77730178386156
380,CHINA SOUTHERN AIR,2,2,538,269.0
380,EMIRATES,12394,12394,615,442.69194771663706
380,ETIHAD AIRWAYS,1017,1017,497,377.19567354965585
380,HI FLY MALTA,1,1,0,0.0
380,KOREAN AIR LINES CO,3492,3492,429,341.0598510882016
380,MALAYSIA AIRLINES,1782,1782,490,392.5465768799102
380,QATAR AIRWAYS,3880,3880,519,407.5556701030928
380,SINGAPORE AIRLINES,4628,4628,468,333.46931719965426
380,THAI AIRWAYS INTL,3980,3980,650,399.63341708542714
400,COTAM,6,6,18,3.0
400,TURKISH AIR FORCE,4,4,0,0.0
707,AMBASSADE CONGO (REP,4,4,0,0.0
707,FORCE AERIENNE ISRAE,2,2,0,0.0
